Ano;Mês;Código da Unidade;Unidade;CPF/CNPJ;Nome do Credor;Código de Tipo de Licitação;Tipo de Licitação;Data do Empenho;Data de Pagamento;Código da Modalidade do Empenho;Modadlidade do Empenho;Poder;Código do Órgão;Órgão;Grupo de Despesa;Código de Modalidade;Modalidade;Empenhado;Liquidação;Pagamento;Anulação Empenho;Anulação Liquidação;Anulação Pagamento;Dotação Inicial;Dotação Atualizada
2026;1;03.01;GAB. DE GER. DO PROG. REQUALIF. E RESILIÊNCIA URB. EM ÁREAS DE VULNER. SOCIOAMB.-PROMORAR RECIFE - A;70215447000163                                                                                                                                                                                          ;A C ENGENHARIA E SERVIÇOS LTDA                                                                                          ;7;Pregão                             ;2026/01/29 00:00:00.000;{2026-02-09,2026-02-10,2026-03-20};2;ESTIMATIVO                                             ;EXECUTIVO                                         ;03;GAB. DE GERENC. DO PROG. DE REQUALIF. E RESILÊNCIA URB. EM ÁREAS DE VULNERABILIDADE SOCIOAMB.-PROMOR;EMPENHO                                                                                             ;90   ;APLICAÇÕES DIRETAS                                                                                  ;1535854.15;1507200.87;1507200.87;-79336.32;0.0;0.0;0.0;0.0
2026;1;03.01;GAB. DE GER. DO PROG. REQUALIF. E RESILIÊNCIA URB. EM ÁREAS DE VULNER. SOCIOAMB.-PROMORAR RECIFE - A;08362490000188                                                                                                                                                                                          ;ADSERV EMPREENDIMENTOS E SERVICOS DE MAO DE OBRA LTDA                                                                   ;12;Registro de Preço                  ;2026/01/30 00:00:00.000;{2026-02-09,2026-03-05,2026-04-08};2;ESTIMATIVO                                             ;EXECUTIVO                                         ;03;GAB. DE GERENC. DO PROG. DE REQUALIF. E RESILÊNCIA URB. EM ÁREAS DE VULNERABILIDADE SOCIOAMB.-PROMOR;EMPENHO                                                                                             ;90   ;APLICAÇÕES DIRETAS                                                                                  ;150000.0;95178.75;95178.75;0.0;0.0;0.0;0.0;0.0
2026;1;03.01;GAB. DE GER. DO PROG. REQUALIF. E RESILIÊNCIA URB. EM ÁREAS DE VULNER. SOCIOAMB.-PROMORAR RECIFE - A;54276936000179                                                                                                                                                                                          ;BDO RCS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LIMITADA                                                            ;9;Outros / Não Aplicável             ;2026/01/29 00:00:00.000;{};2;ESTIMATIVO                                             ;EXECUTIVO                                         ;03;GAB. DE GERENC. DO PROG. DE REQUALIF. E RESILÊNCIA URB. EM ÁREAS DE VULNERABILIDADE SOCIOAMB.-PROMOR;EMPENHO                                                                                             ;90   ;APLICAÇÕES DIRETAS                                                                                  ;0.0;0.0;0.0;-84000.0;0.0;0.0;0.0;0.0
2026;1;03.01;GAB. DE GER. DO PROG. REQUALIF. E RESILIÊNCIA URB. EM ÁREAS DE VULNER. SOCIOAMB.-PROMORAR RECIFE - A;96205407353                                                                                                                                                                                             ;CAROLINA COSTA CASTELO BRANCO                                                                                           ;9;Outros / Não Aplicável             ;2026/01/30 00:00:00.000;{2026-02-10};2;ESTIMATIVO                                             ;EXECUTIVO                                         ;03;GAB. DE GERENC. DO PROG. DE REQUALIF. E RESILÊNCIA URB. EM ÁREAS DE VULNERABILIDADE SOCIOAMB.-PROMOR;EMPENHO                                                                                             ;90   ;APLICAÇÕES DIRETAS                                                                                  ;13379.79;13379.79;12482.47;-3380.96;0.0;0.0;0.0;0.0
2026;1;03.01;GAB. DE GER. DO PROG. REQUALIF. E RESILIÊNCIA URB. EM ÁREAS DE VULNER. SOCIOAMB.-PROMORAR RECIFE - A;41051046000117                                                                                                                                                                                          ;COLMEIA ARQUITETURA E ENGENHARIA LTDA                                                                                   ;9;Outros / Não Aplicável             ;2026/01/29 00:00:00.000;{2026-02-19,2026-03-10};2;ESTIMATIVO                                             ;EXECUTIVO                                         ;03;GAB. DE GERENC. DO PROG. DE REQUALIF. E RESILÊNCIA URB. EM ÁREAS DE VULNERABILIDADE SOCIOAMB.-PROMOR;EMPENHO                                                                                             ;90   ;APLICAÇÕES DIRETAS                                                                                  ;566163.15;566163.15;566163.15;-188566.8;0.0;0.0;0.0;0.0
2026;1;03.01;GAB. DE GER. DO PROG. REQUALIF. E RESILIÊNCIA URB. EM ÁREAS DE VULNER. SOCIOAMB.-PROMORAR RECIFE - A;41051046000117                                                                                                                                                                                          ;COLMEIA ARQUITETURA E ENGENHARIA LTDA                                                                                   ;9;Outros / Não Aplicável             ;2026/01/29 00:00:00.000;{2026-02-19,2026-03-10};2;ESTIMATIVO                                             ;EXECUTIVO                                         ;03;GAB. DE GERENC. DO PROG. DE REQUALIF. E RESILÊNCIA URB. EM ÁREAS DE VULNERABILIDADE SOCIOAMB.-PROMOR;EMPENHO                                                                                             ;90   ;APLICAÇÕES DIRETAS                                                                                  ;1923505.15;1923505.15;1923505.15;-390244.21;0.0;0.0;0.0;0.0
2026;1;03.01;GAB. DE GER. DO PROG. REQUALIF. E RESILIÊNCIA URB. EM ÁREAS DE VULNER. SOCIOAMB.-PROMORAR RECIFE - A;62398689000101                                                                                                                                                                                          ;CONSORCIO PROMORAR RECIFE - LOTE 21                                                                                     ;9;Outros / Não Aplicável             ;2026/01/29 00:00:00.000;{};2;ESTIMATIVO                                             ;EXECUTIVO                                         ;03;GAB. DE GERENC. DO PROG. DE REQUALIF. E RESILÊNCIA URB. EM ÁREAS DE VULNERABILIDADE SOCIOAMB.-PROMOR;EMPENHO                                                                                             ;90   ;APLICAÇÕES DIRETAS                                                                                  ;0.0;0.0;0.0;-2697381.61;0.0;0.0;0.0;0.0
2026;1;03.01;GAB. DE GER. DO PROG. REQUALIF. E RESILIÊNCIA URB. EM ÁREAS DE VULNER. SOCIOAMB.-PROMORAR RECIFE - A;62643808000144                                                                                                                                                                                          ;CONSORCIO PROMORAR WB - FRF                                                                                             ;9;Outros / Não Aplicável             ;2026/01/29 00:00:00.000;{2026-02-10,2026-02-11,2026-02-12,2026-02-19,2026-03-12,2026-03-20};2;ESTIMATIVO                                             ;EXECUTIVO                                         ;03;GAB. DE GERENC. DO PROG. DE REQUALIF. E RESILÊNCIA URB. EM ÁREAS DE VULNERABILIDADE SOCIOAMB.-PROMOR;EMPENHO                                                                                             ;90   ;APLICAÇÕES DIRETAS                                                                                  ;1285485.0;1236079.87;1236079.87;-2349090.67;0.0;0.0;0.0;0.0
2026;1;03.01;GAB. DE GER. DO PROG. REQUALIF. E RESILIÊNCIA URB. EM ÁREAS DE VULNER. SOCIOAMB.-PROMORAR RECIFE - A;08135535000181                                                                                                                                                                                          ;CONSTRUTORA FJ LTDA                                                                                                     ;9;Outros / Não Aplicável             ;2026/01/29 00:00:00.000;{2026-02-04,2026-03-05};2;ESTIMATIVO                                             ;EXECUTIVO                                         ;03;GAB. DE GERENC. DO PROG. DE REQUALIF. E RESILÊNCIA URB. EM ÁREAS DE VULNERABILIDADE SOCIOAMB.-PROMOR;EMPENHO                                                                                             ;90   ;APLICAÇÕES DIRETAS                                                                                  ;1522652.31;1467555.01;1467555.01;0.0;0.0;0.0;0.0;0.0
2026;1;03.01;GAB. DE GER. DO PROG. REQUALIF. E RESILIÊNCIA URB. EM ÁREAS DE VULNER. SOCIOAMB.-PROMORAR RECIFE - A;08135535000181                                                                                                                                                                                          ;CONSTRUTORA FJ LTDA                                                                                                     ;9;Outros / Não Aplicável             ;2026/01/29 00:00:00.000;{};2;ESTIMATIVO                                             ;EXECUTIVO                                         ;03;GAB. DE GERENC. DO PROG. DE REQUALIF. E RESILÊNCIA URB. EM ÁREAS DE VULNERABILIDADE SOCIOAMB.-PROMOR;EMPENHO                                                                                             ;90   ;APLICAÇÕES DIRETAS                                                                                  ;0.0;0.0;0.0;-53635.32;0.0;0.0;0.0;0.0
