"Ano";"Mês";"Código da Função";"Função";"Código de Sub-função";"Sub-função";"Código de Programa";"Programa";"Código da Ação";"Ação";"Código da Fonte";"Fonte";"Dotação Inicial";"Dotação Atualizada";"Empenhado";"Liquidado";"Pago"
"2024";"0";"12  ";"EDUCAÇÃO                                               ";"366 ";"EDUCAÇÃO DE JOVENS E ADULTOS                                                                                            ";"1206";"ORGANIZAÇÃO EFICAZ DO ENSINO E DA APRENDIZAGEM                                                                          ";"2183";"REALIZAÇÃO DE POLÍTICAS DE INCENTIVO À FORMAÇÃO DE JOVENS PARA A CIDADANIA E O TRABALHO                                                                                                                 ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"04  ";"ADMINISTRAÇÃO                                          ";"122 ";"ADMINISTRAÇÃO GERAL                                                                                                     ";"2161";"GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS                                                         ";"2723";"APOIO ADMINISTRATIVO ÀS AÇÕES DA UNIDADE ORÇAMENTÁRIA                                                                                                                                                   ";"0501";"OUTROS RECURSOS NÃO VINCULADOS                         ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"13  ";"CULTURA                                                ";"122 ";"ADMINISTRAÇÃO GERAL                                                                                                     ";"2161";"GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS                                                         ";"2723";"APOIO ADMINISTRATIVO ÀS AÇÕES DA UNIDADE ORÇAMENTÁRIA                                                                                                                                                   ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"15  ";"URBANISMO                                              ";"452 ";"SERVIÇOS URBANOS                                                                                                        ";"1323";"MANUTENÇÃO URBANA                                                                                                       ";"2509";"LIMPEZA URBANA                                                                                                                                                                                          ";"0501";"OUTROS RECURSOS NÃO VINCULADOS                         ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"15  ";"URBANISMO                                              ";"451 ";"INFRA-ESTRUTURA URBANA                                                                                                  ";"1310";"REQUALIFICAÇÃO, AMPLIAÇÃO E REORDENAMENTO DOS ESPAÇOS PÚBLICOS                                                          ";"1576";"URBANIZAÇÃO DAS MARGENS DE RIOS E CANAIS                                                                                                                                                                ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"14  ";"DIREITOS DA CIDADANIA                                  ";"122 ";"ADMINISTRAÇÃO GERAL                                                                                                     ";"2161";"GESTÃO ADMINISTRATIVA DOS ÓRGÃOS, ENTIDADES E FUNDOS MUNICIPAIS                                                         ";"2723";"APOIO ADMINISTRATIVO ÀS AÇÕES DA UNIDADE ORÇAMENTÁRIA                                                                                                                                                   ";"0700";"OUTRAS TRANSF. CONV. OU INSTRUM. CONGÊNERES - UNIÃO    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"12  ";"EDUCAÇÃO                                               ";"365 ";"EDUCAÇÃO INFANTIL                                                                                                       ";"1247";"PROMOÇÃO E FORTALECIMENTO DA POLÍTICA DA PRIMEIRA INFÂNCIA                                                              ";"1036";"EXPANSÃO DA REDE FÍSICA DO ENSINO INFANTIL                                                                                                                                                              ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"10  ";"SAÚDE                                                  ";"305 ";"VIGILÂNCIA EPIDEMIOLÓGICA                                                                                               ";"1217";"FORTALECIMENTO DAS AÇÕES DE VIGILÂNCIA EM SAÚDE                                                                         ";"2088";"DESENVOLVIMENTO DA POLÍTICA DE VIGILÂNCIA EM SAÚDE DO TRABALHADOR (RENAST)                                                                                                                              ";"0600";"TRANSF. FUNDO A FUNDO SUS GOV. FED. - BL. MANUTENÇÃO SE";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"10  ";"SAÚDE                                                  ";"122 ";"ADMINISTRAÇÃO GERAL                                                                                                     ";"2165";"GESTÃO ADMINISTRATIVA DO SISTEMA MUNICIPAL DE SAÚDE                                                                     ";"2617";"APOIO ADMINISTRATIVO ÀS AÇÕES DO FUNDO MUNICIPAL DE SAÚDE                                                                                                                                               ";"0500";"RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ";"0.0";"0.0";"0.0";"0.0";"0.0"
"2024";"0";"15  ";"URBANISMO                                              ";"451 ";"INFRA-ESTRUTURA URBANA                                                                                                  ";"1310";"REQUALIFICAÇÃO, AMPLIAÇÃO E REORDENAMENTO DOS ESPAÇOS PÚBLICOS                                                          ";"1576";"URBANIZAÇÃO DAS MARGENS DE RIOS E CANAIS                                                                                                                                                                ";"0780";"OPERAÇÃO DE CRÉDITO - PBL - BID                        ";"0.0";"0.0";"0.0";"0.0";"0.0"
