Ano;Mês;Código da Função;Função;Código de Sub-função;Sub-função;Código de Programa;Programa;Código da Ação;Ação;Código da Fonte;Fonte;Dotação Inicial;Dotação Atualizada;Empenhado;Liquidado;Pago
2026;1;08  ;ASSISTÊNCIA SOCIAL                                     ;244 ;ASSISTÊNCIA COMUNITÁRIA                                                                                                 ;1204;FORTALECIMENTO DO SISTEMA ÚNICO DE ASSISTÊNCIA SOCIAL                                                                   ;2519;DESENVOLVIMENTO DAS AÇÕES DE PROTEÇÃO SOCIAL ESPECIAL                                                                                                                                                   ;0700;OUTRAS TRANSF. CONV. OU INSTRUM. CONGÊNERES - UNIÃO    ;9200000.0;9200000.0;0.0;0.0;0.0
2026;1;10  ;SAÚDE                                                  ;301 ;ATENÇÃO BÁSICA                                                                                                          ;2107;GESTÃO DAS POLÍTICAS MUNICIPAIS DE SAÚDE                                                                                ;2074;COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DAS POLÍTICAS DE SAÚDE NA ATENÇÃO BÁSICA                                                                                                                             ;0604;TRANSF. DO GOV. FEDERAL - VENCIMENTO DOS AGENTES COMUNI;83000000.0;83000000.0;0.0;0.0;0.0
2026;1;12  ;EDUCAÇÃO                                               ;306 ;ALIMENTAÇÃO E NUTRIÇÃO                                                                                                  ;1207;SUPORTE E APOIO EFETIVOS PARA UMA EDUCAÇÃO DE QUALIDADE                                                                 ;2127;ALIMENTAÇÃO ESCOLAR                                                                                                                                                                                     ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;75000000.0;75000000.0;0.0;0.0;0.0
2026;1;15  ;URBANISMO                                              ;453 ;TRANSPORTES COLETIVOS URBANOS                                                                                           ;1304;MOBILIDADE URBANA E ACESSIBILIDADE                                                                                      ;2510;GERENCIAMENTO DO TRÂNSITO E DO TRANSPORTE PÚBLICO                                                                                                                                                       ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;5157000.0;5157000.0;835166.57;251782.17;251782.17
2026;1;10  ;SAÚDE                                                  ;125 ;NORMATIZAÇÃO E FISCALIZAÇÃO                                                                                             ;1239;MELHORIA DA GESTÃO DO SISTEMA DE SAÚDE                                                                                  ;2886;IMPLEMENTAÇÃO E FORTALECIMENTO DO CONTROLE SOCIAL NA GESTÃO DAS POLÍTICAS DE SAÚDE DO MUNICÍPIO                                                                                                         ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;800000.0;800000.0;340405.98;36187.54;5475.47
2026;1;15  ;URBANISMO                                              ;273 ;PREVIDÊNCIA COMPLEMENTAR                                                                                                ;3101;GESTÃO DOS ENCARGOS GERAIS DO MUNICÍPIO                                                                                 ;9022;ENCARGOS COM A PREVIDÊNCIA SOCIAL DOS SERVIDORES - REGIME GERAL                                                                                                                                         ;0753;RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES         ;5000000.0;5000000.0;0.0;0.0;0.0
2026;1;15  ;URBANISMO                                              ;451 ;INFRA-ESTRUTURA URBANA                                                                                                  ;1304;MOBILIDADE URBANA E ACESSIBILIDADE                                                                                      ;2143;PROMOÇÃO DA MOBILIDADE E ACESSIBILIDADE                                                                                                                                                                 ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;80000.0;80000.0;0.0;0.0;0.0
2026;1;04  ;ADMINISTRAÇÃO                                          ;129 ;ADMINISTRAÇÃO DE RECEITAS                                                                                               ;2122;GESTÃO PÚBLICA DE EXCELÊNCIA                                                                                            ;1040;MODERNIZAÇÃO ADMINISTRATIVA E FISCAL DO MUNICÍPIO                                                                                                                                                       ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;2000000.0;2000000.0;0.0;0.0;0.0
2026;1;14  ;DIREITOS DA CIDADANIA                                  ;422 ;DIREITOS INDIVIDUAIS, COLETIVOS E DIFUSOS                                                                               ;2160;GESTÃO DAS POLÍTICAS MUNICIPAIS                                                                                         ;2282;COORDENAÇÃO, SUPERVISÃO E EXECUÇÃO DAS POLÍTICAS DE ORDEM PÚBLICA E SEGURANÇA                                                                                                                           ;0501;OUTROS RECURSOS NÃO VINCULADOS                         ;18745000.0;18745000.0;0.0;0.0;0.0
2026;1;10  ;SAÚDE                                                  ;301 ;ATENÇÃO BÁSICA                                                                                                          ;1216;FORTALECIMENTO E QUALIFICAÇÃO DA ATENÇÃO BÁSICA EM SAÚDE                                                                ;2321;GARANTIA DA OFERTA DE PROCEDIMENTOS ATRAVÉS DA REDE COMPLEMENTAR - ATENÇÃO BÁSICA                                                                                                                       ;0600;TRANSF. FUNDO A FUNDO SUS GOV. FED. - BL. MANUTENÇÃO SE;40000000.0;40000000.0;0.0;0.0;0.0
2026;1;13  ;CULTURA                                                ;391 ;PATRIMÔNIO HISTÓRICO, ARTÍSTICO E ARQUEOLÓGICO                                                                          ;1211;VALORIZAÇÃO DA CULTURA                                                                                                  ;1039;REFORMA, AMPLIAÇÃO E EQUIPAGEM DE BENS CULTURAIS                                                                                                                                                        ;0700;OUTRAS TRANSF. CONV. OU INSTRUM. CONGÊNERES - UNIÃO    ;200000.0;200000.0;0.0;0.0;0.0
2026;1;12  ;EDUCAÇÃO                                               ;361 ;ENSINO FUNDAMENTAL                                                                                                      ;3103;GESTÃO DOS ENCARGOS GERAIS DO SETOR EDUCACIONAL                                                                         ;9022;ENCARGOS COM A PREVIDÊNCIA SOCIAL DOS SERVIDORES - REGIME GERAL                                                                                                                                         ;0500;RECURSOS NÃO VINCULADOS DE IMPOSTOS                    ;55000000.0;55000000.0;57.94;57.94;57.94
