"Ano";"Mês";"Poder";"Código órgão";"Órgão setorial";"Código da unidade";"Unidade gestora";"Código da despesa";"Categoria da despesa";"Código do grupo de despesa";"Grupo de despesa";"Código da modalidade";"Modalidade";"Dotação atualizada";"Dotação inicial";"Empenhado";"Liquidado";"Pago"
"2024";"3";"EXECUTIVO                                         ";"59";"SECRETARIA DE DESENV. SOCIAL, DIREITOS HUMANOS, JUVENTUDE E POLÍTICAS SOBRE DROGAS - ADM. SUPERVISIO";"59.03";"FUNDO MUNICIPAL DA CRIANÇA E DO ADOLESCENTE - FMCA                                                  ";"4";"DESPESAS DE CAPITAL                                                                                 ";"4";"INVESTIMENTOS                                                                                       ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"-2400.0";"0.0";"";"";""
"2024";"10";"EXECUTIVO                                         ";"25";"SECRETARIA DE GOVERNO E PARTICIPAÇÃO SOCIAL                                                         ";"25.01";"SECRETARIA DE GOVERNO E PARTICIPAÇÃO SOCIAL - ADMINISTRAÇÃO DIRETA                                  ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"";"";"1344259.44";"1344259.44";"1164367.95"
"2024";"10";"EXECUTIVO                                         ";"25";"SECRETARIA DE GOVERNO E PARTICIPAÇÃO SOCIAL                                                         ";"25.01";"SECRETARIA DE GOVERNO E PARTICIPAÇÃO SOCIAL - ADMINISTRAÇÃO DIRETA                                  ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"2800000.0";"0.0";"24179785.07";"5992476.31";"5867744.2"
"2024";"6";"EXECUTIVO                                         ";"32";"SECRETARIA DE CULTURA                                                                               ";"32.01";"SECRETARIA DE CULTURA - ADMINISTRAÇÃO DIRETA                                                        ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"";"";"1332336.09";"1332336.09";"1511200.19"
"2024";"10";"EXECUTIVO                                         ";"61";"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL - ADMINISTRAÇÃO SUPERVISIONADA           ";"61.04";"EMPRESA MUNICIPAL DE INFORMÁTICA - EMPREL                                                           ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"-1657276.15";"0.0";"269338.67";"2553620.39";"2703483.06"
"2024";"11";"EXECUTIVO                                         ";"48";"SECRETARIA DE SAÚDE - ADMINISTRAÇÃO SUPERVISIONADA                                                  ";"48.01";"FUNDO MUNICIPAL DE SAÚDE - FMS                                                                      ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"-6342322.19";"0.0";"27847634.9";"46176672.14";"46424685.55"
"2024";"6";"EXECUTIVO                                         ";"32";"SECRETARIA DE CULTURA                                                                               ";"32.01";"SECRETARIA DE CULTURA - ADMINISTRAÇÃO DIRETA                                                        ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"-35138.39";"0.0";"213065.49";"46252.69";"31360.24"
"2024";"7";"EXECUTIVO                                         ";"69";"SECRETARIA DE DESENVOLVIMENTO SUSTENTÁVEL E MEIO AMBIENTE - ADMINISTRAÇÃO SUPERVISIONADA            ";"69.01";"FUNDO MUNICIPAL DE MEIO AMBIENTE - FMMA                                                             ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"0.0";"0.0";"51058.34";"31358.58";"31679.73"
"2024";"10";"EXECUTIVO                                         ";"61";"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL - ADMINISTRAÇÃO SUPERVISIONADA           ";"61.04";"EMPRESA MUNICIPAL DE INFORMÁTICA - EMPREL                                                           ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"";"";"4655526.41";"5246895.15";"7471947.85"
"2024";"11";"EXECUTIVO                                         ";"48";"SECRETARIA DE SAÚDE - ADMINISTRAÇÃO SUPERVISIONADA                                                  ";"48.01";"FUNDO MUNICIPAL DE SAÚDE - FMS                                                                      ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"26000000.0";"0.0";"72039443.13";"76140883.64";"94366689.16"
"2024";"3";"EXECUTIVO                                         ";"39";"SECRETARIA DE MEIO AMBIENTE E SUSTENTABILIDADE                                                      ";"39.01";"SECRETARIA DE MEIO AMBIENTE E SUSTENTABILIDADE - ADMINISTRAÇÃO DIRETA                               ";"4";"DESPESAS DE CAPITAL                                                                                 ";"4";"INVESTIMENTOS                                                                                       ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"-691039.67";"0.0";"";"";""
"2024";"1";"EXECUTIVO                                         ";"61";"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL - ADMINISTRAÇÃO SUPERVISIONADA           ";"61.04";"EMPRESA MUNICIPAL DE INFORMÁTICA - EMPREL                                                           ";"4";"DESPESAS DE CAPITAL                                                                                 ";"6";"AMORTIZAÇÃO DA DÍVIDA                                                                               ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"1000000.0";"1000000.0";"";"";""
"2024";"5";"EXECUTIVO                                         ";"59";"SECRETARIA DE DESENV. SOCIAL, DIREITOS HUMANOS, JUVENTUDE E POLÍTICAS SOBRE DROGAS - ADM. SUPERVISIO";"59.01";"FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL - FMAS                                                        ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"50  ";"TRANSFERÊNCIAS À INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS                                                                                              ";"-135174.75";"0.0";"569996.53";"569996.53";"569996.53"
"2024";"12";"EXECUTIVO                                         ";"43";"PROCURADORIA GERAL DO MUNICÍPIO - ADMINISTRAÇÃO SUPERVISIONADA                                      ";"43.01";"FUNDO MUNICIPAL DE DEFESA DO CONSUMIDOR - FUNDEC                                                    ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"-74021.0";"0.0";"-247360.63";"241283.2";"322370.94"
"2024";"7";"EXECUTIVO                                         ";"48";"SECRETARIA DE SAÚDE - ADMINISTRAÇÃO SUPERVISIONADA                                                  ";"48.01";"FUNDO MUNICIPAL DE SAÚDE - FMS                                                                      ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"50  ";"TRANSFERÊNCIAS À INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS                                                                                              ";"20462299.97";"0.0";"17179278.63";"24463291.03";"28899631.89"
"2024";"5";"EXECUTIVO                                         ";"62";"SECRETARIA DE CULTURA - ADMINISTRAÇÃO SUPERVISIONADA                                                ";"62.01";"FUNDAÇÃO DE CULTURA CIDADE DO RECIFE - FCCR                                                         ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"91  ";"APLICAÇÃO DIRETA DECORRENTE DE OPERAÇÃO ENTRE ÓRGÃOS, FUNDOS E ENTIDADES INTEGRANTES DOS ORÇAMENTOS FISCAL E DE SEGURIDADE SOCIAL                       ";"";"";"47339.92";"47339.92";"47339.92"
"2024";"7";"EXECUTIVO                                         ";"37";"SECRETARIA DE HABITAÇÃO                                                                             ";"37.01";"SECRETARIA DE HABITAÇÃO - ADMINISTRAÇÃO DIRETA                                                      ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"-5798410.19";"0.0";"226186.55";"226186.55";"225165.92"
"2024";"7";"EXECUTIVO                                         ";"37";"SECRETARIA DE HABITAÇÃO                                                                             ";"37.01";"SECRETARIA DE HABITAÇÃO - ADMINISTRAÇÃO DIRETA                                                      ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"41612.94";"0.0";"98497.24";"379294.4";"368372.35"
"2024";"2";"EXECUTIVO                                         ";"50";"SECRETARIA DE INFRAESTRUTURA - ADMINISTRAÇÃO SUPERVISIONADA                                         ";"50.10";"AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA - EMLURB                                                   ";"3";"DESPESAS CORRENTES                                                                                  ";"2";"JUROS E ENCARGOS DA DÍVIDA                                                                          ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"";"";"0.0";"94534.85";"0.0"
"2024";"4";"EXECUTIVO                                         ";"48";"SECRETARIA DE SAÚDE - ADMINISTRAÇÃO SUPERVISIONADA                                                  ";"48.01";"FUNDO MUNICIPAL DE SAÚDE - FMS                                                                      ";"3";"DESPESAS CORRENTES                                                                                  ";"3";"OUTRAS DESPESAS CORRENTES                                                                           ";"50  ";"TRANSFERÊNCIAS À INSTITUIÇÕES PRIVADAS SEM FINS LUCRATIVOS                                                                                              ";"77326355.11";"0.0";"41488451.11";"40297948.2";"41567640.36"
"2024";"6";"EXECUTIVO                                         ";"50";"SECRETARIA DE INFRAESTRUTURA - ADMINISTRAÇÃO SUPERVISIONADA                                         ";"50.10";"AUTARQUIA DE MANUTENÇÃO E LIMPEZA URBANA - EMLURB                                                   ";"3";"DESPESAS CORRENTES                                                                                  ";"1";"PESSOAL E ENCARGOS SOCIAIS                                                                          ";"91  ";"APLICAÇÃO DIRETA DECORRENTE DE OPERAÇÃO ENTRE ÓRGÃOS, FUNDOS E ENTIDADES INTEGRANTES DOS ORÇAMENTOS FISCAL E DE SEGURIDADE SOCIAL                       ";"";"";"8152.93";"8152.93";"0.0"
"2024";"6";"EXECUTIVO                                         ";"61";"SECRETARIA DE PLANEJAMENTO, GESTÃO E TRANSFORMAÇÃO DIGITAL - ADMINISTRAÇÃO SUPERVISIONADA           ";"61.01";"AUTARQUIA MUNICIPAL DE PREVIDÊNCIA E ASSISTÊNCIA À SAÚDE DOS SERVIDORES                             ";"4";"DESPESAS DE CAPITAL                                                                                 ";"4";"INVESTIMENTOS                                                                                       ";"90  ";"APLICAÇÕES DIRETAS                                                                                                                                      ";"";"";"6000.0";"0.0";"0.0"
