Ano;Mês;Poder;Código órgão;Órgão setorial;Código da unidade;Unidade gestora;Código da despesa;Categoria da despesa;Código do grupo de despesa;Grupo de despesa;Código da modalidade;Modalidade;Dotação atualizada;Dotação inicial;Empenhado;Liquidado;Pago
2026;3;EXECUTIVO                                         ;80;ENCARGOS GERAIS DO MUNICÍPIO                                                                        ;80.03;RECURSOS SOB A GESTÃO DA SECRETARIA DE ADMINISTRAÇÃO                                                ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;0.0;0.0;383991.97;3160174.87;3160174.87
2026;3;EXECUTIVO                                         ;62;SECRETARIA DE CULTURA - ADMINISTRAÇÃO SUPERVISIONADA                                                ;62.01;FUNDAÇÃO DE CULTURA CIDADE DO RECIFE - FCCR                                                         ;3;DESPESAS CORRENTES                                                                                  ;1;PESSOAL E ENCARGOS SOCIAIS                                                                          ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;;;-9325.03;1568032.28;374202.46
2026;3;EXECUTIVO                                         ;25;SECRETARIA DE ARTICULAÇÃO POLÍTICA E SOCIAL                                                         ;25.01;SECRETARIA DE ARTICULAÇÃO POLÍTICA E SOCIAL - ADMINISTRAÇÃO DIRETA                                  ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;-10433089.85;0.0;4461671.62;3935293.32;3632731.14
2026;3;EXECUTIVO                                         ;15;SECRETARIA DE FINANÇAS                                                                              ;15.01;SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA                                                       ;3;DESPESAS CORRENTES                                                                                  ;1;PESSOAL E ENCARGOS SOCIAIS                                                                          ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;-880000.0;0.0;5960973.96;5960973.96;5966356.35
2026;3;EXECUTIVO                                         ;35;SECRETARIA DE TURISMO E LAZER                                                                       ;35.01;SECRETARIA DE TURISMO E LAZER - ADMINISTRAÇÃO DIRETA                                                ;4;DESPESAS DE CAPITAL                                                                                 ;4;INVESTIMENTOS                                                                                       ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;;;0.0;1097.0;1097.0
2026;2;EXECUTIVO                                         ;53;SECRETARIA DE SANEAMENTO - ADMINISTRAÇÃO SUPERVISIONADA                                             ;53.02;FUNDO MUNICIPAL DE SANEAMENTO - FMSAN                                                               ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;0.0;0.0;3250000.0;940382.67;888661.64
2026;2;EXECUTIVO                                         ;64;SECRETARIA DE DESENVOLVIMENTO URBANO E LICENCIAMENTO - ADMINISTRAÇÃO SUPERVISIONADA                 ;64.01;FUNDO MUNICIPAL DE MEIO AMBIENTE - FMMA                                                             ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;0.0;0.0;24743.26;0.0;0.0
2026;3;EXECUTIVO                                         ;62;SECRETARIA DE CULTURA - ADMINISTRAÇÃO SUPERVISIONADA                                                ;62.02;FUNDO DE INCENTIVO À CULTURA - FIC                                                                  ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;;;605494.1;1151024.1;1360092.35
2026;2;EXECUTIVO                                         ;68;SECRETARIA DE ORDEM PÚBLICA E SEGURANÇA - ADMINISTRAÇÃO SUPERVISIONADA                              ;68.02;CONVIVA MERCADOS E FEIRAS - AUTARQUIA MUNICIPAL                                                     ;3;DESPESAS CORRENTES                                                                                  ;1;PESSOAL E ENCARGOS SOCIAIS                                                                          ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;0.0;0.0;3083120.07;1596476.31;1551452.61
2026;4;EXECUTIVO                                         ;43;PROCURADORIA GERAL DO MUNICÍPIO - ADMINISTRAÇÃO SUPERVISIONADA                                      ;43.01;FUNDO MUNICIPAL DE DEFESA DO CONSUMIDOR - FUNDEC                                                    ;3;DESPESAS CORRENTES                                                                                  ;3;OUTRAS DESPESAS CORRENTES                                                                           ;90  ;APLICAÇÕES DIRETAS                                                                                                                                      ;0.0;0.0;1038823.32;231274.05;50316.48
